FIRST,FOLLOW,Nonterminal,function,id,(,),{,return,;,},",",case,:,default,break,if,let,switch,=,alert,input,-=,&&,+,<,number,boolean,string,n,b,s,$
"{'',if,let,switch,function,alert,input,id,(,n,b,s}",{$},O,2. O -> F O,1. O -> C O,1. O -> C O,,,,,,,,,,,1. O -> C O,1. O -> C O,1. O -> C O,,1. O -> C O,1. O -> C O,,,,,,,,1. O -> C O,1. O -> C O,1. O -> C O,3. O -> ''
"{'',if,let,switch,function,alert,input,id,(,n,b,s}",{$},OO,4. OO -> O,4. OO -> O,4. OO -> O,,,,,,,,,,,4. OO -> O,4. OO -> O,4. OO -> O,,4. OO -> O,4. OO -> O,,,,,,,,4. OO -> O,4. OO -> O,4. OO -> O,
{function},"{$,if,let,switch,function,alert,input,id,(,n,b,s}",F,5. F -> function FT id {1.1} {1.2} ( FD ) {1.6} {1.7} { FC return R ; } {1.3} {1.4} {1.5} ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'',number,boolean,string}",{id},FT,,7. FT -> '' {2.2},,,,,,,,,,,,,,,,,,,,,,6. FT -> T {2.1},6. FT -> T {2.1},6. FT -> T {2.1},,,,
"{'',number,boolean,string}",{)},FD,,,,9. FD -> '',,,,,,,,,,,,,,,,,,,,8. FD -> T id  {3.1} {3.2} {3.3} {3.4} {3.5} PD {3.6} {3.7},8. FD -> T id  {3.1} {3.2} {3.3} {3.4} {3.5} PD {3.6} {3.7},8. FD -> T id  {3.1} {3.2} {3.3} {3.4} {3.5} PD {3.6} {3.7},,,,
"{,,''}",{)},PD,,,,11. PD -> '',,,,,"10. PD -> , FD {3.8} {3.9}",,,,,,,,,,,,,,,,,,,,,
"{'',if,let,switch,alert,input,id,(,n,b,s}",{return},FC,,12. FC -> C FC,12. FC -> C FC,,,13. FC -> '',,,,,,,,12. FC -> C FC,12. FC -> C FC,12. FC -> C FC,,12. FC -> C FC,12. FC -> C FC,,,,,,,,12. FC -> C FC,12. FC -> C FC,12. FC -> C FC,
"{'',(,id,n,b,s}",{)},FV,,14. FV -> L PV {4.1} {4.2},14. FV -> L PV {4.1} {4.2},15. FV -> '',,,,,,,,,,,,,,,,,,,,,,,14. FV -> L PV {4.1} {4.2},14. FV -> L PV {4.1} {4.2},14. FV -> L PV {4.1} {4.2},
"{,,''}",{)},PV,,,,17. PV -> '',,,,,"16. PV -> , FV {4.3} {4.4}",,,,,,,,,,,,,,,,,,,,,
"{case,default,''}",{}},SC,,,,,,,,20. SC -> '',,18. SC -> case Z {5.1} : CC SC,,19. SC -> default : CC,,,,,,,,,,,,,,,,,,
"{break,'',if,let,switch,alert,input,id,(,n,b,s}","{case,default,}}",CC,,21. CC -> C CC,21. CC -> C CC,,,,,23. CC -> '',,23. CC -> '',,23. CC -> '',22. CC -> break ;,21. CC -> C CC,21. CC -> C CC,21. CC -> C CC,,21. CC -> C CC,21. CC -> C CC,,,,,,,,21. CC -> C CC,21. CC -> C CC,21. CC -> C CC,
"{if,let,switch,alert,input,id,(,n,b,s}","{$,if,let,switch,function,alert,input,id,(,n,b,s,return,break,case,default,}}",C,,24. C -> S,24. C -> S,,,,,,,,,,,25. C -> if ( L ) S {6.1} {6.2},26. C -> let T id D ; {7.1} {7.2} {7.3} {3.5},27. C -> switch ( I ) {8.1} { SC } {8.2},,24. C -> S,24. C -> S,,,,,,,,24. C -> S,24. C -> S,24. C -> S,
"{=,''}",{;},D,,,,,,,29. D -> '',,,,,,,,,,28. D -> = L {9.1},,,,,,,,,,,,,
"{alert,input,id,(,n,b,s}","{$,if,let,switch,function,alert,input,id,(,n,b,s,return,break,case,default,}}",S,,32. S -> id SI ; {10.1} {10.2} {10.3} {10.4} {10.5},33. S -> ( L ) ;,,,,,,,,,,,,,,,30. S -> alert ( L ) ;,31. S -> input ( id ) ; {8.1},,,,,,,,34. S -> Z LE ; {11.1},34. S -> Z LE ; {11.1},34. S -> Z LE ; {11.1},
"{=,-=,(,'',&&,+,<}",{;},SI,,,37. SI -> P LE {14.1} {14.2} {14.3} {14.4},,,,37. SI -> P LE {14.1} {14.2} {14.3} {14.4},,,,,,,,,,35. SI -> = L {12.1} {12.2},,,36. SI -> -= L {13.1},37. SI -> P LE {14.1} {14.2} {14.3} {14.4},37. SI -> P LE {14.1} {14.2} {14.3} {14.4},37. SI -> P LE {14.1} {14.2} {14.3} {14.4},,,,,,,
"{&&,+,<,''}",{;},LE,,,,,,,41. LE -> '',,,,,,,,,,,,,,38. LE -> && L {15.1},39. LE -> + L {15.2},40. LE -> < L {15.2} {15.3},,,,,,,
"{(,id,n,b,s}","{,,),;}",L,,42. L -> E LL {16.1} {16.2} {16.3},42. L -> E LL {16.1} {16.2} {16.3},,,,,,,,,,,,,,,,,,,,,,,,42. L -> E LL {16.1} {16.2} {16.3},42. L -> E LL {16.1} {16.2} {16.3},42. L -> E LL {16.1} {16.2} {16.3},
"{&&,''}","{,,),;}",LL,,,,44. LL -> '',,,44. LL -> '',,44. LL -> '',,,,,,,,,,,,43. LL -> && L {17.1},,,,,,,,,
"{(,id,n,b,s}","{&&,,,),;}",E,,45. E -> I EE {18.1} {18.2} {18.3} {18.4},45. E -> I EE {18.1} {18.2} {18.3} {18.4},,,,,,,,,,,,,,,,,,,,,,,,45. E -> I EE {18.1} {18.2} {18.3} {18.4},45. E -> I EE {18.1} {18.2} {18.3} {18.4},45. E -> I EE {18.1} {18.2} {18.3} {18.4},
"{<,''}","{&&,,,),;}",EE,,,,47. EE -> '',,,47. EE -> '',,47. EE -> '',,,,,,,,,,,,47. EE -> '',,46. EE -> < E {18.5},,,,,,,
"{(,id,n,b,s}","{<,&&,,,),;}",I,,48. I -> Y II {19.1} {19.2} {19.3},48. I -> Y II {19.1} {19.2} {19.3},,,,,,,,,,,,,,,,,,,,,,,,48. I -> Y II {19.1} {19.2} {19.3},48. I -> Y II {19.1} {19.2} {19.3},48. I -> Y II {19.1} {19.2} {19.3},
"{+,''}","{<,&&,,,),;}",II,,,,50. II -> '',,,50. II -> '',,50. II -> '',,,,,,,,,,,,50. II -> '',49. II -> + I {19.4},50. II -> '',,,,,,,
"{(,id,n,b,s}","{+,<,&&,,,),;}",Y,,52. Y -> id P {21.1} {21.2} {21.3} {21.4} {21.5} {21.6},51. Y -> ( L ) {20.1},,,,,,,,,,,,,,,,,,,,,,,,53. Y -> Z {22.1},53. Y -> Z {22.1},53. Y -> Z {22.1},
"{(,''}","{&&,+,<,;,,,)}",P,,,54. P -> ( FV ) {23.1} {23.2} {23.3},55. P -> '' {24.1},,,55. P -> '' {24.1},,55. P -> '' {24.1},,,,,,,,,,,,55. P -> '' {24.1},55. P -> '' {24.1},55. P -> '' {24.1},,,,,,,
"{number,boolean,string}",{id},T,,,,,,,,,,,,,,,,,,,,,,,,56. T -> number {25.1} {25.2},57. T -> boolean {26.1} {25.2},58. T -> string {27.1} {27.2},,,,
"{n,b,s}","{:,&&,+,<,$,if,let,switch,function,alert,input,id,(,n,b,s,return,break,case,default,;,,,),}}",Z,,,,,,,,,,,,,,,,,,,,,,,,,,,59. Z -> n {28.1},60. Z -> b {28.2},61. Z -> s {28.3},
"{'',(,id,n,b,s}",{;},R,,62. R -> L {29.1} {29.2},62. R -> L {29.1} {29.2},,,,63. R -> '' {29.3},,,,,,,,,,,,,,,,,,,,62. R -> L {29.1} {29.2},62. R -> L {29.1} {29.2},62. R -> L {29.1} {29.2},